Date,META,AMAZON,APPLE,NETFLIX,GOOGLE
9/5/2012,18.57999992,12.31099987,23.93678665,7.851428986,17.03503418
9/6/2012,18.95999908,12.56900024,24.15250015,8.092857361,17.50250244
9/7/2012,18.97999954,12.95699978,24.30142975,8.094285965,17.67142105
9/10/2012,18.80999947,12.85449982,23.66928673,7.988571167,17.53678703
9/11/2012,19.43000031,12.78349972,23.59250069,8.165714264,17.32207108
9/12/2012,20.93000031,12.78149986,23.9210701,8.172857285,17.28928947
9/13/2012,20.70999908,13.01200008,24.39214325,8.285714149,17.66866875
9/14/2012,22,13.0635004,24.68857193,8.645713806,17.7597599
9/17/2012,21.52000046,12.89999962,24.99214363,8.145713806,17.76726723
9/18/2012,21.87000084,12.9375,25.06821442,8.008570671,17.97497559
9/19/2012,23.29000092,13.08399963,25.07500076,8.148571014,18.20570564
9/20/2012,22.59000015,13.04049969,24.95357132,8.391428947,18.22122192
9/21/2012,22.86000061,12.87349987,25.00321388,8.255714417,18.36811829
9/24/2012,20.79000092,12.73999977,24.6710701,8.055713654,18.75325394
9/25/2012,20.28000069,12.62300014,24.05500031,7.685713768,18.74774742
9/26/2012,20.62000084,12.48349953,23.75642967,7.875713825,18.85535431
9/27/2012,20.31999969,12.8295002,24.33285713,7.935713768,18.93143082
9/28/2012,21.65999985,12.7159996,23.82500076,7.777143002,18.88138008
10/1/2012,21.98999977,12.60050011,23.54964256,8.007143021,19.0635643
10/2/2012,22.27000046,12.52999973,23.61821365,8.065713882,18.94369316
10/3/2012,21.82999992,12.79599953,23.98035622,8.93999958,19.08158112
10/4/2012,21.95000076,13.02350044,23.81428528,9.52428627,19.22047043
10/5/2012,20.90999985,12.92549992,23.30678558,9.508570671,19.21046066
10/8/2012,20.39999962,12.95300007,22.79178619,10.50285721,18.96496582
10/9/2012,20.22999954,12.54800034,22.70892906,9.361429214,18.62087059
10/10/2012,19.63999939,12.24950027,22.88964272,9.357143402,18.63263321
10/11/2012,19.75,12.21100044,22.43214226,9.425713539,18.80580521
10/12/2012,19.52000046,12.11800003,22.4896431,9.18999958,18.63738632
10/15/2012,19.52000046,12.20899963,22.67000008,9.251428604,18.54304314
